,CAGR,Volatility,Sharpe,Max Drawdown,Annual Turnover,Rebalance Count,Tracking Error
Rule-Based,0.08756274889209936,0.1588865502064197,0.4252263568207898,0.4740504791675822,1.0190632251855454,211.0,0.00949007776780483
Markowitz,0.08148166738340801,0.11827924239491086,0.519800990761616,0.339902205537206,2.233572328408791,677.0,0.07448922153384033
Black-Litterman,0.07122876902779307,0.23272483058699237,0.22012592682345425,0.6393874580742749,2.3638030051671666,501.0,0.08704615055151528
Equal-Weight,0.07695744651334113,0.16769494403671348,0.33964915782357413,0.485755366284452,1.5221217337244903,445.0,0.04100470542809681
