Date,RuleBased,Markowitz,BlackLitterman
2004-09-30,1.0010515442316263,1.003504212806859,1.003504212806859
2004-10-01,1.0146500516211143,1.0167528444843195,1.0167528444843195
2004-10-04,1.018571159418849,1.0227249560894291,1.0227249560894291
2004-10-05,1.017709296980296,1.020861104761105,1.020861104761105
2004-10-06,1.0235550049241766,1.0263303847910878,1.0263303847910878
2004-10-07,1.0150871735541964,1.0186938463114565,1.0186938463114565
2004-10-08,1.0101374844496236,1.0171758031282083,1.0171758031282083
2004-10-11,1.013404237423195,1.0187856110069153,1.0187856110069153
2004-10-12,1.008571235043165,1.0143312797345725,1.0143312797345725
2004-10-13,1.0016120330417362,1.0096838436763587,1.0096838436763587
2004-10-14,0.9960893554121234,1.0074529572780995,1.0074529572780995
2004-10-15,1.0015598104047139,1.014339126729541,1.014339126729541
2004-10-18,1.0055173459966669,1.0191281369533354,1.0191281369533354
2004-10-19,0.9995572925920625,1.0145213927779282,1.0145213927779282
2004-10-20,0.9978777263109612,1.012068356434462,1.012068356434462
2004-10-21,1.0039313357818942,1.0193130394673806,1.0193130394673806
2004-10-22,0.9962003117197079,1.0132028053478135,1.0132028053478135
2004-10-25,0.9958980757909112,1.012636917380089,1.012636917380089
2004-10-26,1.0053659615201527,1.0190335061564926,1.0190335061564926
2004-10-27,1.0153488554707815,1.0289462004914616,1.0289462004914616
2004-10-28,1.016669114108972,1.0288685469794958,1.0288685469794958
2004-10-29,1.0176630354302685,1.0303388966776656,1.0303388966776656
2004-11-01,1.0205676293024135,1.0350205724563162,1.0350205724563162
2004-11-02,1.020442276035229,1.0328785891873922,1.0328785891873922
2004-11-03,1.0313690217984048,1.043125559065555,1.043125559065555
2004-11-04,1.0428316640275084,1.0544829022424336,1.0544829022424336
2004-11-05,1.0453752035506845,1.0491246191284016,1.0491246191284016
2004-11-08,1.0420505685320114,1.0454942173207742,1.0454942173207742
2004-11-09,1.0425197444304362,1.0482908776196727,1.0482908776196727
2004-11-10,1.0433314079788487,1.0504092987101359,1.0504092987101359
2004-11-11,1.050579705131261,1.0579102679624388,1.0579102679624388
2004-11-12,1.0596208760990287,1.0701884401476458,1.0701884401476458
2004-11-15,1.0621438314468348,1.0747359691897174,1.0747359691897174
2004-11-16,1.055136753557938,1.067718858033155,1.067718858033155
2004-11-17,1.061825519489523,1.0696335077059214,1.0696335077059214
2004-11-18,1.0629807191548195,1.0701489388433927,1.0701489388433927
2004-11-19,1.0525007011255176,1.0598597383613297,1.0598597383613297
2004-11-22,1.0568456971727713,1.0644411654647772,1.0644411654647772
2004-11-23,1.0582158761841678,1.0663319885011717,1.0663319885011717
2004-11-24,1.0626357245774547,1.0748764934972448,1.0748764934972448
2004-11-26,1.0642995790125467,1.0782997818667606,1.0782997818667606
2004-11-29,1.0595954444024318,1.0736514751847817,1.0736514751847817
2004-11-30,1.0607396946453087,1.0759824149524564,1.0759824149524564
2004-12-01,1.0695736169327954,1.0855836712903901,1.0855836712903901
2004-12-02,1.0697508890058338,1.0834457780161855,1.0834457780161855
2004-12-03,1.0720117022253493,1.0897757121724108,1.0897757121724108
2004-12-06,1.0720387770430995,1.0909024543056687,1.0909024543056687
2004-12-07,1.0629794817729394,1.0807476798866564,1.0807476798866564
2004-12-08,1.0666402088093423,1.0824221414895177,1.0824221414895177
2004-12-09,1.0662908904539783,1.0805007702488083,1.0805007702488083
2004-12-10,1.066996624641345,1.0825809269324114,1.0825809269324114
2004-12-13,1.0752445338603451,1.0886747160615318,1.0886747160615318
2004-12-14,1.0791979106505398,1.092189956541282,1.092189956541282
2004-12-15,1.0825967761451802,1.0974284241047791,1.0974284241047791
2004-12-16,1.0800456124870341,1.0922370179517749,1.0922370179517749
2004-12-17,1.075466526663163,1.0923696451171567,1.0923696451171567
2004-12-20,1.077854166859698,1.0953955916630664,1.0953955916630664
2004-12-21,1.0851405437527377,1.1034956170775552,1.1034956170775552
2004-12-22,1.0875283652191776,1.106771002766622,1.106771002766622
2004-12-23,1.0888607567126465,1.1068722299541753,1.1068722299541753
2004-12-27,1.0861778739261092,1.1029744708937694,1.1029744708937694
2004-12-28,1.0907743214258518,1.1069340249908013,1.1069340249908013
2004-12-29,1.0930095873134602,1.1105533259395388,1.1105533259395388
2004-12-30,1.0920051987701764,1.1111845535065392,1.1111845535065392
2004-12-31,1.0921702083695526,1.112593423019642,1.112593423019642
2005-01-03,1.086553630587732,1.1048281019994448,1.1048281019994448
2005-01-04,1.0721064107770157,1.0878933294081785,1.0878933294081785
2005-01-05,1.0636203842295955,1.0730679420467049,1.0730679420467049
2005-01-06,1.0673077230639094,1.0765032631622922,1.0765032631622922
2005-01-07,1.0665336569061536,1.075976485149919,1.075976485149919
2005-01-10,1.0695004787405749,1.0765965243757105,1.0765965243757105
2005-01-11,1.0644712448696771,1.0717947235752647,1.0717947235752647
2005-01-12,1.0686988298953641,1.075226890056418,1.075226890056418
2005-01-13,1.063348506882115,1.0725239824187354,1.0725239824187354
2005-01-14,1.0696892630188972,1.0814285760598943,1.0814285760598943
2005-01-18,1.0770953091721265,1.0870159663650005,1.0870159663650005
2005-01-19,1.06829616540431,1.080845066662706,1.080845066662706
2005-01-20,1.0623820176766703,1.0751575539135518,1.0751575539135518
2005-01-21,1.060940181620899,1.077749713362311,1.077749713362311
2005-01-24,1.0590299189227383,1.0746336715023002,1.0746336715023002
