,CAGR,Volatility,Sharpe,Max Drawdown,Annual Turnover,Rebalance Count,Tracking Error
Rule-Based,0.08750150740921958,0.1588850037150994,0.42484505038787795,0.4741466820867152,1.0190632251855454,211.0,0.00949207243279612
Markowitz,0.08033686496743009,0.11827642689909489,0.5101343230372122,0.34084345826843165,2.233572328408791,677.0,0.07449492324985028
Black-Litterman,0.06982880086840781,0.232728917721192,0.21410661535453213,0.6399095041144911,2.3638030051671666,501.0,0.08703838119151393
Equal-Weight,0.07685813412204245,0.16769002274865735,0.3390668877615004,0.48589940766085704,1.5221217337244903,445.0,0.04100506166499426
