,CAGR,Volatility,Sharpe,Max Drawdown,Annual Turnover,Rebalance Count,Tracking Error
Rule-Based,0.0874402613352454,0.15888350417593475,0.42446358220150726,0.4742428850058463,1.0190632251855454,211.0,0.0094948526437767
Markowitz,0.07919291767208092,0.1182763776388942,0.500462720060644,0.3417835779368832,2.233572328408791,677.0,0.07450501610054955
Black-Litterman,0.06843018384673005,0.23273489687797574,0.208091629129955,0.6404309169145572,2.3638030051671666,501.0,0.08703567075764461
Equal-Weight,0.0767588172204321,0.16768517805663158,0.33848440200995694,0.48604343014070045,1.5221217337244903,445.0,0.04100573171552037
